Unnamed: 0,index,Paper Title,Authors,Published Year,Publication Venue
1812823,1812824,A note on the calculation of performance for likelihood ratio processors via computer simulation (Corresp.),W. Hodgkiss;L. Nolte,2006.0,IEEE Transactions on Information Theory
539998,539999,Guaranteed Occlusion and Visibility in Cluster Hierarchical Radiosity,Luc Leblanc;Pierre Poulin,2000.0,Proceedings of the Eurographics Workshop on Rendering Techniques 2000
1476203,1476204,Social contraptions and embodied interaction,Jared Donovan;Robb Mitchell,2010.0,Proceedings of the 12th ACM international conference adjunct papers on Ubiquitous computing - Adjunct
1751259,1751260,Haptic negotiation and role exchange for collaboration in virtual environments,S Ozgur Oguz;Ayse Kucukyilmaz;Tevfik Metin Sezgin;Cagatay Basdogan,2010.0,HAPTIC '10 Proceedings of the 2010 IEEE Haptics Symposium
1166732,1166733,A solver for QBFs in negation normal form,Uwe Egly;Martina Seidl;Stefan Woltran,2009.0,Constraints
1492769,1492770,Tight bounds for the approximation ratio of the hypervolume indicator,Karl Bringmann;Tobias Friedrich,2010.0,PPSN'10 Proceedings of the 11th international conference on Parallel problem solving from nature: Part I
1450847,1450848,How good is a span of terms?: exploiting proximity to improve web retrieval,Krysta M. Svore;Pallika H. Kanani;Nazan Khan,2010.0,Proceedings of the 33rd international ACM SIGIR conference on Research and development in information retrieval
1870265,1870266,Setting an error detection infrastructure with low cost acoustic wave detectors,Gaurang Upasani;Xavier Vera;Antonio González,2012.0,Proceedings of the 39th Annual International Symposium on Computer Architecture
714823,714824,Coordinated transmission of data in a distributed multimedia conferencing application,Walter Piotrowski;Dennis Jay Foreman,2002.0,Coordinated transmission of data in a distributed multimedia conferencing application
1072583,1072584,A Fast-Deblocking Boundary-strength Based Architecture Design of Deblocking Filter in H.264/AVC Applications,Chun-Lung Hsu;Yu-Sheng Huang,2008.0,Journal of Signal Processing Systems
1533279,1533280,Study for Technology of Asphalt Pavement Aggregate Washed by Cycle Limewater,Jiang Tao;Sun Bin,2010.0,ICDMA '10 Proceedings of the 2010 International Conference on Digital Manufacturing & Automation - Volume 02
1730433,1730434,Compositional reasoning for probabilistic finite-state behaviors,Yuxin Deng;Catuscia Palamidessi;Jun Pang,2005.0,"Processes, Terms and Cycles"
1310948,1310949,Towards a multi-dimensional project Performance Measurement System,Matthieu Lauras;Guillaume Marques;Didier Gourc,2010.0,Decision Support Systems
2000325,2000326,Composable Parallel Patterns with Intel Cilk Plus,Arch D. Robison,2013.0,Computing in Science and Engineering
1026273,1026274,Patterns and technologies for enabling supply chain traceability through collaborative e-business,Alessio Bechini;Mario G. C. A. Cimino;Francesco Marcelloni;Andrea Tomasi,2008.0,Information and Software Technology
513900,513901,Dynamic Programming as Multiagent Programming,Jean-Marc Andreoli;Remo Pareschi;Marc Bourgois,1991.0,ECOOP '91 Proceedings of the Workshop on Object-Based Concurrent Computing
1967768,1967769,Being confident about the quality of the predictions in recommender systems,Sergio Cleger-Tamayo;Juan M. Fernández-Luna;Juan F. Huete;Nava Tintarev,2013.0,ECIR'13 Proceedings of the 35th European conference on Advances in Information Retrieval
644019,644020,IBM Websphere Portal Primer,Ashok Iyengar;Venkata Gadepalli,2003.0,IBM Websphere Portal Primer
124812,124813,Issues in real-time data management,Marc H. Graham,1992.0,Real-Time Systems - Special issue: real-time databases
173049,173050,A performance study of software and hardware data prefetching schemes,T.-F. Chen;J.-L. Baer,1994.0,ISCA '94 Proceedings of the 21st annual international symposium on Computer architecture
1182418,1182419,The effects of misspecified marginals and copulas on computing the value at risk: A Monte Carlo study,Dean Fantazzini,2009.0,Computational Statistics & Data Analysis
370809,370810,DAC Easy Made Easy,Bud E. Smith,1987.0,DAC Easy Made Easy
1560645,1560646,Nonlinear gray-box identification using local models applied to industrial robots,Erik Wernholt;Stig Moberg,2011.0,Automatica (Journal of IFAC)
119254,119255,Monotonicity preserving interpolation using C2 rational cubic Be´zier curves,M. K. Ismail,1992.0,Mathematical methods in computer aided geometric design II
1513014,1513015,A Parallel Computing Platform for Real-Time Haptic Interaction with Deformable Bodies,Ramin Mafi;Shahin Sirouspour;Behzad Mahdavikhah;Brian Moody;Kaveh Elizeh;Adam Kinsman;Nicola Nicolici,2010.0,IEEE Transactions on Haptics
1968479,1968480,A knowledge-based formalization of UBL processes using hybrid programs,Sidharth Bihary;Suman Roy;Tan Zi Han;Kiran Prakash Sawant,2012.0,Proceedings of the 5th ACM COMPUTE Conference: Intelligent & scalable system technologies
1250077,1250078,CTC: An end-to-end flow control protocol for multi-core systems-on-chip,Nicola Concer;Luciano Bononi;Michael Soulie;Riccardo Locatelli;Luca P. Carloni,2009.0,NOCS '09 Proceedings of the 2009 3rd ACM/IEEE International Symposium on Networks-on-Chip
1848062,1848063,Extending Recommender Systems for Disjoint User/Item Sets: The Conference Recommendation Problem,Mark Hornick;Pablo Tamayo,2012.0,IEEE Transactions on Knowledge and Data Engineering
1800164,1800165,Strong convergence of a general iterative algorithm for equilibrium problems and variational inequality problems,Xiaolong Qin;Meijuan Shang;Yongfu Su,2008.0,Mathematical and Computer Modelling: An International Journal
1299893,1299894,Counterexamples to the Complex Polytope Extremality Conjecture,R. M. Jungers;V. Y. Protasov,2009.0,SIAM Journal on Matrix Analysis and Applications
1944209,1944210,SMT-based false positive elimination in static program analysis,Maximilian Junker;Ralf Huuck;Ansgar Fehnker;Alexander Knapp,2012.0,ICFEM'12 Proceedings of the 14th international conference on Formal Engineering Methods: formal methods and software engineering
1472456,1472457,Connectivity-based and anchor-free localization in large-scale 2d/3d sensor networks,Guang Tan;Hongbo Jiang;Shengkai Zhang;Anne-Marie Kermarrec,2010.0,Proceedings of the eleventh ACM international symposium on Mobile ad hoc networking and computing
112618,112619,"Scale economies, technological change and capacity factor: an economic analysis of thermal power generation in Japan",Yoshiki Iinuma,1991.0,"Scale economies, technological change and capacity factor: an economic analysis of thermal power generation in Japan"
879382,879383,Book Embeddability of Series–Parallel Digraphs,Emilio Di Giacomo;Walter Didimo;Giuseppe Liotta;Stephen K. Wismath,2006.0,Algorithmica
990238,990239,Geographic forwarding and adaptive load balancing in wireless sensor networks,Paolo Casari;Michele Nati;Chiara Petrioli;Michele Zorzi,2007.0,ACM SIGMOBILE Mobile Computing and Communications Review
1866373,1866374,Exponential Synchronization of Complex Networks With Finite Distributed Delays Coupling,Cheng Hu;Juan Yu;Haijun Jiang;Zhidong Teng,2011.0,IEEE Transactions on Neural Networks - Part 1
1548735,1548736,Traffic monitoring and event analysis at intersection based on integrated multi-video and Petri net process,Chang-Lung Tsai;Shih-Chao Tai,2011.0,MMM'11 Proceedings of the 17th international conference on Advances in multimedia modeling - Volume Part II
170393,170394,Fuzzy controller for robot arm trajectory,"Abdollah Homaifar;Bijan Sayyarrodsari;John E. Hogans, IV",1994.0,Information Sciences—Applications: An International Journal
1505086,1505087,Fault injection into Verilog models for dependability evaluation of digital systems,Hamid R. Zarandi;Seyed Ghassem Miremadi;Alireza Ejlali,2003.0,ISPDC'03 Proceedings of the Second international conference on Parallel and distributed computing
1501517,1501518,Dynamical pricing for one-manufacturer and two- retailers supply chain model,Hui-Chih Hung;Carina Cassandra Labio Calugcug,2010.0,"ASM'10 Proceedings of the 4th international conference on Applied mathematics, simulation, modelling"
1336237,1336238,Online Paging for Flash Memory Devices,Annamária Kovács;Ulrich Meyer;Gabriel Moruz;Andrei Negoescu,2009.0,ISAAC '09 Proceedings of the 20th International Symposium on Algorithms and Computation
1902239,1902240,Operation Dynamics in Phase-Change Memory Cells and the Role of Access Devices,A. Faraclas;N. Williams;F. Dirisaglik;K. Cil;A. Gokirmak;H. Silva,2012.0,ISVLSI '12 Proceedings of the 2012 IEEE Computer Society Annual Symposium on VLSI
448591,448592,Uniform decay of solution for wave equation of Kirchhoff type with nonlinear boundary damping and memory term,Jong Yeoul Park;Jeong Ja Bae;Il Hyo Jung,2002.0,"Nonlinear Analysis: Theory, Methods & Applications"
2016772,2016773,Low-overhead distributed transaction coordination,Barbara H. Liskov;James Cowling,2012.0,Low-overhead distributed transaction coordination
353189,353190,Secrets & Lies: Digital Security in a Networked World,Bruce Schneier,2000.0,Secrets & Lies: Digital Security in a Networked World
1498766,1498767,Business Plurality: Advance Business Diplomacy,Lamin Tombekai Kamara,2010.0,Business Plurality: Advance Business Diplomacy
1997962,1997963,Supplying Compiler's Static Compatibility Checks by the Analysis of Third-Party Libraries,Kamil Jezek;Lukas Holy;Premek Brada,2013.0,CSMR '13 Proceedings of the 2013 17th European Conference on Software Maintenance and Reengineering
121299,121300,Some comments on a bin-packing problem of W. Kno¨del,H. Prodinger,1991.0,Computing
1299245,1299246,Probing the Pareto Frontier for Basis Pursuit Solutions,Ewout van den Berg;Michael P. Friedlander,2008.0,SIAM Journal on Scientific Computing
1849505,1849506,Presence detection of binary-phase-shift-keyed and direct-sequence spread-spectrum signals using a prefilter-delay-and-multiply device,J. F. Kuehls;E. Geraniotis,2006.0,IEEE Journal on Selected Areas in Communications
1210122,1210123,Band offsets at interfaces of (100)InxGa1-xAs (0≤x≤0.53) with Al2O3 and HfO2,V. V. Afanas'ev;A. Stesmans;G. Brammertz;A. Delabie;S. Sionke;A. O'Mahony;I. M. Povey;M. E. Pemble;E. O'Connor;P. K. Hurley;S. B. Newcomb,2009.0,Microelectronic Engineering
1374473,1374474,Two-level protection and guarantee for multimedia traffic in IEEE 802.11e distributed WLANs,Yang Xiao;Frank Haizhon Li;Sunghyun Choi,2009.0,Wireless Networks
99367,99368,Bounded reductions,Harry Buhrman;Edith Spaan;Leen Torenvliet,1991.0,STACS 91 Proceedings of the 8th annual symposium on Theoretical aspects of computer science
1426825,1426826,Use of reference directions in spatial encoding,Constanze Vorwerg,2003.0,Spatial cognition III
1068812,1068813,Netlib and NA-Net: Building a Scientific Computing Community,Jack Dongarra;Gene H. Golub;Eric Grosse;Cleve Moler;Keith Moore,2008.0,IEEE Annals of the History of Computing
1269597,1269598,Rule refinement by domain experts in complex knowledge bases,Cristina Boicu;Gheorghe Tecuci;Mihai Boicu,2005.0,AAAI'05 Proceedings of the 20th national conference on Artificial intelligence - Volume 4
656971,656972,Efficient Delay Test Generation for Modular Circuits,N. Agrawal;P. Agarwal;C. Ravikumar,1996.0,GLSVLSI '96 Proceedings of the 6th Great Lakes Symposium on VLSI
23028,23029,Multiway branching in C,Alan Filipski,1987.0,Computer Language
1601168,1601169,Mercury: A fast and energy-efficient multi-level cell based Phase Change Memory system,Madhura Joshi;Wangyuan Zhang;Tao Li,2011.0,HPCA '11 Proceedings of the 2011 IEEE 17th International Symposium on High Performance Computer Architecture
498045,498046,A Self-Tuning Job Scheduler Family with Dynamic Policy Switching,Achim Streit,2002.0,JSSPP '02 Revised Papers from the 8th International Workshop on Job Scheduling Strategies for Parallel Processing
314761,314762,Regulating service access and information release on the Web,Piero Bonatti;Pierangela Samarati,2000.0,Proceedings of the 7th ACM conference on Computer and communications security
1291581,1291582,GUEST EDITORIAL: Case-based reasoning in the health sciences,Isabelle Bichindaritz,2006.0,Artificial Intelligence in Medicine
1456309,1456310,Local subspace learning by extended fuzzy c-medoids clustering,N. Haga;K. Honda;A. Notsu;H. Ichihashi,2010.0,International Journal of Knowledge Engineering and Soft Data Paradigms
112766,112767,Multi-vector correlations in photofragmentation and reactions of polyatomic molecules,Shan-Tao Lai,1991.0,Multi-vector correlations in photofragmentation and reactions of polyatomic molecules
381441,381442,Official NetScape Javascript Book 1.2,Peter Kent;John Kent,1996.0,Official NetScape Javascript Book 1.2
862699,862700,Transformation synthesis for data intensive applications to FPGAs,Renqiu Huang;Ranga Vemuri,2006.0,GLSVLSI '06 Proceedings of the 16th ACM Great Lakes symposium on VLSI
1768505,1768506,A SURVEY OF INTEGRATING IP MOBILITY PROTOCOLS AND MOBILE AD HOC NETWORKS,F. M. Abduljalil;S. K. Bodhe,2007.0,IEEE Communications Surveys & Tutorials
1092118,1092119,Fulfilling its Promise - Information Polity as an International Journal, Staff,2003.0,Information Polity
276135,276136,An efficient two-phase algorithm for cyclic days-off scheduling,Hesham K. Alfares,1998.0,Computers and Operations Research
1054825,1054826,Neighborhood localized iterative multi-input multi-output detector using swarm intelligence,Habibullah Jamal;Muhammad Naeem;Syed Ismail Shah,2006.0,AIC'06 Proceedings of the 6th WSEAS International Conference on Applied Informatics and Communications
1348077,1348078,"Continuous, weighted Lorenz theory and applications to the study of fractional relative impact factors",L. Egghe,2005.0,Information Processing and Management: an International Journal - Special issue: Infometrics
186136,186137,Operating system support for a video-on-demand file service,K. K. Ramakrishnan;Lev Vaitzblit;Cary Gray;Uresh Vahalia;Dennis Ting;Percy Tzelnic;Steve Glaser;Wayne Duso,1995.0,Multimedia Systems
226568,226569,"The solution of Cauchy's problem for a system of second-order linear differential equations, unsolvable for the highest derivative",L. N. Shablitskaya,1996.0,Computational Mathematics and Mathematical Physics
1185432,1185433,Ars Electronica 2008,Gerfried Stocker;Christine Schopf,2008.0,Ars Electronica 2008
1521021,1521022,Decompose-Collaborated Evolution Optimum Design of Foundation Pit Engineering,Dong Zhou;Heng Wu;Jia-min Mai;Tao-shen Li;Qiu-lian Chen,2010.0,AICI '10 Proceedings of the 2010 International Conference on Artificial Intelligence and Computational Intelligence - Volume 03
1956723,1956724,Efficient Pattern Generation for Small-Delay Defects Using Selection of Critical Faults,Fang Bao;Ke Peng;Mahmut Yilmaz;Krishnendu Chakrabarty;Leroy Winemberg;Mohammad Tehranipoor,2013.0,Journal of Electronic Testing: Theory and Applications
1479715,1479716,Advanced faults patterns for WSN dependability benchmarking,Asim Ali;Sébastien Tixeuil,2010.0,"Proceedings of the 13th ACM international conference on Modeling, analysis, and simulation of wireless and mobile systems"
562695,562696,Industry Requirements for Academic and Continuing Education,T. J. Lulofs,1992.0,Proceedings of the SEI Conference on Software Engineering Education
228519,228520,Esquisses,Christine Z. Chang,1996.0,SIGGRAPH '96 ACM SIGGRAPH 96 Visual Proceedings: The art and interdisciplinary programs of SIGGRAPH '96
1573996,1573997,Predictive error behavior model of on-screen keyboard users,Siddharth Jain;Samit Bhattacharya,2011.0,CHI '11 Extended Abstracts on Human Factors in Computing Systems
1549188,1549189,Novel approach for shipboard antenna handover without data loss,Mark Miller;Don Wilcoxson;Robert Fitting;Thomas Inukai,2003.0,MILCOM'03 Proceedings of the 2003 IEEE conference on Military communications - Volume I
1321829,1321830,The Application of CRFs in Part-of-Speech Tagging,Xiaofei Zhang;Heyan Huang;Zhang Liang,2009.0,IHMSC '09 Proceedings of the 2009 International Conference on Intelligent Human-Machine Systems and Cybernetics - Volume 02
2069598,2069599,Collaborative Learning in Facebook: Adverse Effects of Individual Preparation,Raluca Judele;Dimitra Tsovaltzi;Thomas Puhl;Armin Weinberger,2014.0,HICSS '14 Proceedings of the 2014 47th Hawaii International Conference on System Sciences
1398626,1398627,Analysis and recognition of touching cell images based on morphological structures,Donggang Yu;Tuan D. Pham;Xiaobo Zhou,2007.0,"KES'07/WIRN'07 Proceedings of the 11th international conference, KES 2007 and XVII Italian workshop on neural networks conference on Knowledge-based intelligent information and engineering systems: Part I"
988172,988173,Length-weighted string kernels for sequence data classification,Shengfeng Tian;Shaomin Mu;Chuanhuan Yin,2007.0,Pattern Recognition Letters
1763119,1763120,Pilot-Assisted Time-Varying Channel Estimation for OFDM Systems,Zijian Tang;R.C. Cannizzaro;G. Leus;P. Banelli,2007.0,IEEE Transactions on Signal Processing
290954,290955,Computing literature: a guide to building information services in academic computer centers,Darlene Myers Hilderbrandt,1986.0,SIGUCCS '86 Proceedings of the 14th annual ACM SIGUCCS conference on User services: setting the direction
1751054,1751055,Maintenance Research in SOA - Towards a Standard Case Study,Tiago Espinha;Cuiting Chen;Andy Zaidman;Hans-Gerhard Gross,2012.0,CSMR '12 Proceedings of the 2012 16th European Conference on Software Maintenance and Reengineering
1926589,1926590,"Modeling of spiking analog neural circuits with hebbian learning, using amorphous semiconductor thin film transistors with silicon oxide nitride semiconductor split gates",Richard Wood;Ian Bruce;Peter Mascher,2012.0,ICANN'12 Proceedings of the 22nd international conference on Artificial Neural Networks and Machine Learning - Volume Part I
2000595,2000596,Incentive Compatible Privacy-Preserving Data Analysis,Murat Kantarcioglu;Wei Jiang,2013.0,IEEE Transactions on Knowledge and Data Engineering
354497,354498,USB Complete: Everything You Need to Develop Custom USB Peripherals with Cdrom,Jan Axelson,1999.0,USB Complete: Everything You Need to Develop Custom USB Peripherals with Cdrom
1617872,1617873,"Using camlp4 for presenting dynamic mathematics on the web: DynaMoW, an OCaml language extension for the run-time generation of mathematical contents and their presentation on the web",Frédéric Chyzak;Alexis Darrasse,2011.0,Proceedings of the 16th ACM SIGPLAN international conference on Functional programming
2067979,2067980,Adopting BIM Standards for Managing Vision 2030 Infrastructure Development in Qatar,Fatima Al Mohannadi;Mohammed Arif;Zeeshan Aziz;Phillip A. Richardson,2013.0,International Journal of 3-D Information Modeling
657331,657332,From Wall Street to Main Street: Reaching out to Small Investors,V. Krishna;V. C. Ramesh,1999.0,HICSS '99 Proceedings of the Thirty-second Annual Hawaii International Conference on System Sciences-Volume 5 - Volume 5
38288,38289,Efficiencies in microcomputer simulation experiments,Virginia F. Flack,1988.0,Computational Statistics & Data Analysis
610220,610221,FPGA Based Custom Computing Machines for Irregular Problems,D. Abramson;P. Logothetis;A. Postula;M. Randall,1998.0,HPCA '98 Proceedings of the 4th International Symposium on High-Performance Computer Architecture
411389,411390,Data Mining and Knowledge Discovery with Evolutionary Algorithms,Alex A. Freitas,2002.0,Data Mining and Knowledge Discovery with Evolutionary Algorithms
1368393,1368394,Multiswarm particle filter for vision based SLAM,Hee Seok Lee;Kyoung Mu Lee,2009.0,IROS'09 Proceedings of the 2009 IEEE/RSJ international conference on Intelligent robots and systems
2058246,2058247,Adaptive Neuro-fuzzy Classifier for Weapon Detection in X-Ray Images of Luggage Using Zernike Moments and Shape Context Descriptor,Annet Deenu Lopez;Eldho S. Kollialil;K. Gopika Gopan,2013.0,ICACC '13 Proceedings of the 2013 Third International Conference on Advances in Computing and Communications
1557391,1557392,Parallelization of Modular Algorithms,Nazeran Idrees;Gerhard Pfister;Stefan Steidel,2011.0,Journal of Symbolic Computation
45265,45266,Inference via belief qualified if-then rules based on compatibility relations and possibility theory,Janusz Kacprzyk;Mario Fedrizzi,1988.0,Proceedings of the 2nd International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems on Uncertainty and intelligent systems
1441183,1441184,MEMS packaging process by film transfer using an anti-adhesive layer,Sebastien Brault;O. Garel;G. Schelcher;N. Isac;F. Parrain;A. Bosseboeuf;F. Verjus;M. Desgeorges;E. Dufour-Gergam,2010.0,"Microsystem Technologies - Special Issue on Design, Test, Integration and Packaging of MEMS/MOEMS, 2009"
1601335,1601336,Study on low-frequency oscillations in a gyrotron using a 3D CFDTD PIC method,M. C. Lin;D. N. Smithe,2011.0,IVEC '11 Proceedings of the 2011 IEEE International Vacuum Electronics Conference
1194213,1194214,Enhancing operating system support for multicore processors by using hardware performance monitoring,Reza Azimi;David K. Tam;Livio Soares;Michael Stumm,2009.0,ACM SIGOPS Operating Systems Review
611488,611489,Asymmetrical Filters for Vision Chips: a Basis for the Design of Large Sets of Spatial and Spatiotemporal Filters,Antonio B. Torralba;Jeanny Hérault,1999.0,"MICRONEURO '99 Proceedings of the 7th International Conference on Microelectronics for Neural, Fuzzy and Bio-Inspired Systems"
444074,444075,Editorial Board Changes, IEEE Transactions on Parallel and Distributed Systems Staff,1996.0,IEEE Transactions on Parallel and Distributed Systems
932741,932742,Naked Conversations: How Blogs are Changing the Way Businesses Talk with Customers,Robert Scoble;Shel Israel,2006.0,Naked Conversations: How Blogs are Changing the Way Businesses Talk with Customers
1189991,1189992,Modeling and analysis of a self-learning worm based on good point set scanning,Fangwei Wang;Yunkai Zhang;Jianfeng Ma,2009.0,Wireless Communications & Mobile Computing - Next Generation Wireless Communications and Mobile Computing-Networking Technologies
184883,184884,The reconstruction engine: a computer implementation of the comparative method,John B. Lowe;Martine Mazaudon,1994.0,Computational Linguistics - Special issue on computational phonology
448700,448701,"Degree 8 maximal arcs in PG(2, 2h), h odd",Nicholas Hamilton,2002.0,Journal of Combinatorial Theory Series A
959143,959144,In Search of Complementarity in Innovation Strategy: Internal R&D and External Knowledge Acquisition,Bruno Cassiman;Reinhilde Veugelers,2006.0,Management Science
1946997,1946998,Advances in Knowledge-Based and Intelligent Information and Engineering Systems,M. Graa;C. Toro;J. Posada;R. J. Howlett;L. C. Jain,2012.0,Advances in Knowledge-Based and Intelligent Information and Engineering Systems
1577219,1577220,Experiences in using patterns to support process experts in process description and wizard creation,Birgit Zimmermann;Christoph Rensing;Ralf Steinmetz,2011.0,Transactions on pattern languages of programming II
459860,459861,Encodings for Equilibrium Logic and Logic Programs with Nested Expressions,David Pearce;Hans Tompits;Stefan Woltran,2001.0,"EPIA '01 Proceedings of the10th Portuguese Conference on Artificial Intelligence on Progress in Artificial Intelligence, Knowledge Extraction, Multi-agent Systems, Logic Programming and Constraint Solving"
1855026,1855027,Motion-vector optimization of control grid interpolation and overlapped block motion compensation using iterated dynamic programming,"M. C. Chen;A. N. Willson, Jr.",2000.0,IEEE Transactions on Image Processing
1242802,1242803,A Web Service System with Workflow Modeling and Scheduling,Xinyu Zhang;Nian Long Luo,2009.0,ITNG '09 Proceedings of the 2009 Sixth International Conference on Information Technology: New Generations
946011,946012,Mondriaan sparse matrix partitioning for attacking cryptosystems by a parallel block Lanczos algorithm: a case study,Rob H. Bisseling;Ildikó Flesch,2006.0,Parallel Computing - Algorithmic skeletons
5801,5802,Maximum induced trees in graphs,Paul Erdös;Michael Saks;Vera T Sós,1986.0,Journal of Combinatorial Theory Series B
1001744,1001745,The JastAdd extensible Java compiler,Torbjörn Ekman;Görel Hedin,2007.0,Companion to the 22nd ACM SIGPLAN conference on Object-oriented programming systems and applications companion
904699,904700,Phantom types and subtyping,Matthew Fluet;Riccardo Pucella,2006.0,Journal of Functional Programming
696230,696231,A conceptual framework for distributed debugging,Nancy Jean Partin Wahl;Stephen R. Schach,1989.0,A conceptual framework for distributed debugging
126827,126828,Communication mechanism on autonomous objects,Yutaka Ishikawa,1992.0,"OOPSLA '92 conference proceedings on Object-oriented programming systems, languages, and applications"
837483,837484,Stochastic Microgeometry for Displacement Mapping,Craig A. Schroeder;David E. Breen;Christopher D. Cera;William C. Regli,2005.0,SMI '05 Proceedings of the International Conference on Shape Modeling and Applications 2005
765672,765673,Simple efficient load balancing algorithms for peer-to-peer systems,David R. Karger;Matthias Ruhl,2004.0,Proceedings of the sixteenth annual ACM symposium on Parallelism in algorithms and architectures
550597,550598,"A Multimedia System to collect, manage and search in narrative productions",Gabriella Spinelli,1999.0,Proceedings of HCI International (the 8th International Conference on Human-Computer Interaction) on Human-Computer Interaction: Ergonomics and User Interfaces-Volume I - Volume I
1474237,1474238,Recourse-based facility-location problems in hybrid uncertain environment,Shuming Wang;Junzo Watada;Witold Pedrycz,2010.0,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics - Special issue on gait analysis"
458274,458275,Discovery of Constraints and Data Dependencies in Databases (Extended Abstract),Siegfried Bell;Peter Brockhausen,1995.0,ECML '95 Proceedings of the 8th European Conference on Machine Learning
1624112,1624113,The centre for internationalization and usability: enabling culture-centred design for all,José Abdelnour-Nocera;Andy Smith;John Moore;Cecilia Oyugi;Souleymane Camara;Malte Ressin;Sujan Shresta;Alison Wiles,2011.0,INTERACT'11 Proceedings of the 13th IFIP TC 13 international conference on Human-computer interaction - Volume Part IV
1431422,1431423,Extending the user requirements notation with aspect-oriented concepts,Gunter Mussbacher;Daniel Amyot,2009.0,SDL'09 Proceedings of the 14th international SDL conference on Design for motes and mobiles
1083601,1083602,Effect of dynamic camera control on spatial reasoning in 3D spaces,Ogechi Nnadi;Ute Fischer;Michael Boyce;Michael Nitsche,2008.0,Sandbox '08 Proceedings of the 2008 ACM SIGGRAPH symposium on Video games
1066458,1066459,Dealing with subjectivity in early product design phase: A systematic approach to exploit Quality Function Deployment potentials,Hendry Raharjo;Aarnout C. Brombacher;Min Xie,2008.0,Computers and Industrial Engineering
1318404,1318405,Artificial Neural Network for Predicting Machining Performance of Uncoated Carbide (WC-Co) in Milling Machining Operation,Azlan Mohd Zain;Habibollah Haron;Safian Sharif,2009.0,ICCTD '09 Proceedings of the 2009 International Conference on Computer Technology and Development - Volume 01
581704,581705,A Note on the Column Elimination Tree,John R. Gilbert;Laura Grigori,2003.0,SIAM Journal on Matrix Analysis and Applications
800992,800993,Hardware Enhanced Function Allocation Management in Reconfigurable Systems,Michael Ullmann;Wansheng Jin;Jurgen Becker,2005.0,IPDPS '05 Proceedings of the 19th IEEE International Parallel and Distributed Processing Symposium (IPDPS'05) - Workshop 3 - Volume 04
366758,366759,Writing Video Scripts with WordPerfect,Gene Bjerke,1992.0,Writing Video Scripts with WordPerfect
851748,851749,High-Quality Hardware-Based Ray-Casting Volume Rendering Using Partial Pre-Integration,Rodrigo Espinha;Waldemar Celes,2005.0,SIBGRAPI '05 Proceedings of the XVIII Brazilian Symposium on Computer Graphics and Image Processing
1724077,1724078,Prediction of dissimilarity judgments between tonal sequences using information theory,Michael Frishkopf,2012.0,Proceedings of the 2012 Joint International Conference on Human-Centered Computer Environments
1339400,1339401,Stereo acoustical echo cancellation based on common poles,Gabriele Bunkheila;Michele Scarpiniti;Raffaele Parisi;Aurelio Uncini,2009.0,DSP'09 Proceedings of the 16th international conference on Digital Signal Processing
1577738,1577739,"Invariant range image multi-pose face recognition using K-means, membership matching score and center of gravity search",Seri Pansang;Bang-On Makdee;Chom Kimpan,2006.0,ICS'06 Proceedings of the 10th WSEAS international conference on Systems
476266,476267,CLIP: A CLP(Intervals) Dialect for Metalevel Constraint Solving,Timothy J. Hickey,2000.0,PADL '00 Proceedings of the Second International Workshop on Practical Aspects of Declarative Languages
1539507,1539508,Code contracts for .NET: runtime verification and so much more,Mike Barnett,2010.0,RV'10 Proceedings of the First international conference on Runtime verification
167321,167322,Logical support for modularisation,Răzvan Diaconescu;Joseph Goguen;Petros Stefaneas,1993.0,Papers presented at the second annual Workshop on Logical environments
1433668,1433669,Only the short die old: route optimization in MANETs by dynamic subconnection shrinking,Zeki Bilgin;Bilal Khan;Ala Al-Fuqaha,2010.0,Proceedings of the 6th International Wireless Communications and Mobile Computing Conference
770211,770212,Integral representations for computing real parabolic cylinder functions,Amparo Gil;Javier Segura;Nico M. Temme,2004.0,Numerische Mathematik
779493,779494,Fault-Tolerant Adaptive Deadlock-Recovery Routing for k-ary n-cube Networks,Tsutomu Yoshinaga;Hiroyuki Hosogoshi;Masahiro Sowa,2004.0,IWIA '04 Proceedings of the Innovative Architecture for Future Generation High-Performance Processors and Systems
1961881,1961882,Multi-core scalability measurements: issues and solutions,Mattias Linde,2012.0,PARA'12 Proceedings of the 11th international conference on Applied Parallel and Scientific Computing
711940,711941,Channel estimation and normalization by coherent spectral averaging for robust speaker recognition,Rajesh Balchandran;Richard J. Mammone,2000.0,Channel estimation and normalization by coherent spectral averaging for robust speaker recognition
371529,371530,Research Data Management in the Ecological Sciences,William K. Michener,1986.0,Research Data Management in the Ecological Sciences
862454,862455,A Reference Architecture for Natural Language Generation Systems,Chris Mellish;Donia Scott;Lynne Cahill;Daniel Paiva;Roger Evans;Mike Reape,2006.0,Natural Language Engineering
1653059,1653060,Extracting trust information from security system of a service,Şerif Bahtiyar;Mehmet Ufuk Çağlayan,2012.0,Journal of Network and Computer Applications
1800371,1800372,Predicate trees: a tool for descriptive subgraph extraction,Hrvoje Simic,2012.0,"Proceedings of the 2nd International Conference on Web Intelligence, Mining and Semantics"
1593417,1593418,L2-SVM: Dependence on the regularization parameter,L. Doktorski,2011.0,Pattern Recognition and Image Analysis
